agent,prey,pred,agentPreyDist,agentPredDist,preyPredDist,utility
0,2,38,2,7,7,2.5968454742851654
0,2,39,2,6,6,2.6074635787472857
0,2,40,2,5,5,2.654255459727718
0,2,41,2,4,4,2.6918313200782276
0,2,42,2,4,4,2.692234720128771
0,2,43,2,4,3,2.8098455159635907
0,2,44,2,3,4,2.810949924224728
0,2,45,2,2,3,2.823129961270595
0,2,46,2,3,3,2.8268833387622427
0,2,47,2,3,2,2.824234272481578
0,2,48,2,2,1,inf
0,2,49,2,1,2,inf
0,3,0,2,0,2,inf
0,3,1,2,1,2,inf
0,3,2,2,2,1,inf
0,3,3,2,2,0,inf
0,3,4,2,1,1,inf
0,3,5,2,2,1,3.0674574340027525
0,3,6,2,2,2,3.0568462119310476
0,3,7,2,3,3,3.0064341180886447
0,3,8,2,4,4,2.7888049068149927
0,3,9,2,5,5,2.679304633634516
0,3,10,2,6,6,2.63984087450869
0,3,11,2,5,5,2.6793046336345165
0,3,12,2,4,4,2.7888049068149927
0,3,13,2,5,5,2.684680886696975
0,3,14,2,6,6,2.637270928364832
0,3,15,2,7,7,2.602363720830839
0,3,16,2,8,8,2.584551304501477
0,3,17,2,9,9,2.5750034277555716
0,3,18,2,8,8,2.5846025137677073
0,3,19,2,9,9,2.573898245687143
0,3,20,2,10,10,2.5681736842706644
0,3,21,2,9,9,2.5732289834656465
0,3,22,2,10,10,2.567164772752823
0,3,23,2,11,11,2.5635630489216608
0,3,24,2,11,11,2.564080164006598
0,3,25,2,11,12,2.561755470160135
0,3,26,2,11,11,2.5633845570645333
0,3,27,2,11,12,2.561635274119421
0,3,28,2,10,11,2.5635785267069116
0,3,29,2,9,10,2.5668471242921367
0,3,30,2,10,11,2.5638967335643423
0,3,31,2,10,11,2.5639278208694183
0,3,32,2,10,11,2.5639278208694183
0,3,33,2,9,10,2.566946324653676
0,3,34,2,8,9,2.5731113495696976
0,3,35,2,7,8,2.582192702929149
0,3,36,2,7,8,2.583126521559239
0,3,37,2,6,7,2.598450928140972
0,3,38,2,7,8,2.584071343679963
0,3,39,2,6,7,2.5983836908298055
0,3,40,2,5,6,2.621360690035831
0,3,41,2,4,5,2.6697889336105862
0,3,42,2,4,5,2.655378872404427
0,3,43,2,4,4,2.696612553898143
0,3,44,2,3,5,2.7324228911593154
0,3,45,2,2,4,2.9872998990679234
0,3,46,2,3,4,2.7415762763297202
0,3,47,2,3,3,2.987592649396423
0,3,48,2,2,2,inf
0,3,49,2,1,3,inf
0,4,0,1,0,1,inf
0,4,1,1,1,2,inf
0,4,2,1,2,2,inf
0,4,3,1,2,1,inf
0,4,4,1,1,0,inf
0,4,5,1,2,1,3.070531879744252
0,4,6,1,2,2,3.0593323950562605
0,4,7,1,3,3,3.034185221335153
0,4,8,1,4,4,2.762048579723258
0,4,9,1,5,5,2.687554594215609
0,4,10,1,6,6,2.6371715376002727
0,4,11,1,5,5,2.687554594215609
0,4,12,1,4,4,2.762048579723258
0,4,13,1,5,5,2.6945175690769814
0,4,14,1,6,6,2.634213344434646
0,4,15,1,7,7,2.604343942639339
0,4,16,1,8,8,2.5837291693192936
0,4,17,1,9,9,2.575444573436381
0,4,18,1,8,8,2.5837837976411606
0,4,19,1,9,9,2.574294365695247
0,4,20,1,10,10,2.567956480320577
0,4,21,1,9,9,2.5736702364035473
0,4,22,1,10,10,2.56695343156632
0,4,23,1,11,11,2.5636851996083276
0,4,24,1,11,11,2.5642046080701
0,4,25,1,11,12,2.56173979387677
0,4,26,1,11,11,2.563529444165548
0,4,27,1,11,12,2.5616195306798155
0,4,28,1,10,11,2.5634594582752213
0,4,29,1,9,10,2.56721013154227
0,4,30,1,10,11,2.5637671503959396
0,4,31,1,10,11,2.563793536219388
0,4,32,1,10,11,2.563793536219388
0,4,33,1,9,10,2.5673090566475056
0,4,34,1,8,9,2.5726217523169574
0,4,35,1,7,8,2.583484869788541
0,4,36,1,7,8,2.584283314943414
0,4,37,1,6,7,2.5964489817181056
0,4,38,1,7,8,2.5854967970762255
0,4,39,1,6,7,2.596370455736162
0,4,40,1,5,6,2.627198136375953
0,4,41,1,4,5,2.666459653779677
0,4,42,1,4,5,2.6586525367888925
0,4,43,1,4,5,2.699231059249015
0,4,44,1,3,4,2.7326643350603694
0,4,45,1,2,3,2.987592649396423
0,4,46,1,3,4,2.7424436297275374
0,4,47,1,3,4,2.9872998990679234
0,4,48,1,2,3,inf
0,4,49,1,1,2,inf
0,5,0,2,0,2,inf
0,5,1,2,1,2,inf
0,5,2,2,2,2,inf
0,5,3,2,2,1,inf
0,5,4,2,1,1,inf
0,5,5,2,2,0,3.0736881332273986
0,5,6,2,2,1,3.066805358345704
0,5,7,2,3,2,3.047542963141054
0,5,8,2,4,3,2.80140669728468
0,5,9,2,5,4,2.7221775221723297
0,5,10,2,6,5,2.658551454061135
0,5,11,2,5,4,2.7221775221723297
0,5,12,2,4,3,2.80140669728468
0,5,13,2,5,4,2.7309367338481385
0,5,14,2,6,5,2.655714928468225
0,5,15,2,7,6,2.6111374567150962
0,5,16,2,8,7,2.591708679859601
0,5,17,2,9,8,2.579020515322373
0,5,18,2,8,7,2.591765642688111
0,5,19,2,9,8,2.577712733024547
0,5,20,2,10,9,2.571684711232549
0,5,21,2,9,8,2.5767760234973114
0,5,22,2,10,9,2.5703961702479985
0,5,23,2,11,10,2.565154953628686
0,5,24,2,11,10,2.5658285417754243
0,5,25,2,11,11,2.562751727219552
0,5,26,2,11,10,2.564860589040942
0,5,27,2,11,11,2.562587302734824
0,5,28,2,10,12,2.5628590246555456
0,5,29,2,9,11,2.5654830581839883
0,5,30,2,10,12,2.562884490451501
0,5,31,2,10,12,2.5628952598785313
0,5,32,2,10,12,2.5628952598785313
0,5,33,2,9,11,2.5655318992598657
0,5,34,2,8,10,2.5706137915923093
0,5,35,2,7,9,2.5786561855960928
0,5,36,2,7,9,2.579425596140951
0,5,37,2,6,8,2.5918918813497425
0,5,38,2,7,9,2.5802785185432193
0,5,39,2,6,8,2.591832641529079
0,5,40,2,5,7,2.6124978451085386
0,5,41,2,4,6,2.651752661198786
0,5,42,2,4,6,2.643109191673733
0,5,43,2,4,5,2.6673682649965054
0,5,44,2,3,5,2.6890231052455844
0,5,45,2,2,4,2.9479673964052933
0,5,46,2,3,5,2.694606163672084
0,5,47,2,3,4,2.9479673964052933
0,5,48,2,2,3,inf
0,5,49,2,1,3,inf
0,6,0,2,0,2,inf
0,6,1,2,1,1,inf
0,6,2,2,2,2,inf
0,6,3,2,2,2,inf
0,6,4,2,1,2,inf
0,6,5,2,2,1,3.073895831542108
0,6,6,2,2,0,3.067632917051424
0,6,7,2,3,1,3.052771749241549
0,6,8,2,4,2,2.811918452494467
0,6,9,2,5,3,2.799919320052113
